1.0.0,openjdk:8u232-jre-stretch,1.0-latest
1.0.0-alpine,openjdk:8u212-jre-alpine3.9,1.0-alpine-latest
1.1.0,openjdk:8u232-jre-stretch,1.1-latest
1.1.0-alpine,openjdk:8u212-jre-alpine3.9,1.1-alpine-latest
1.2.0,openjdk:8u232-jre-stretch,1.2-latest
1.2.0-alpine,openjdk:8u212-jre-alpine3.9,1.2-alpine-latest
1.3.0,openjdk:8u232-jre-stretch,1.3-latest
1.3.0-alpine,openjdk:8u212-jre-alpine3.9,1.3-alpine-latest
1.4.0,openjdk:8u232-jre-stretch,1.4-latest
1.4.0-alpine,openjdk:8u212-jre-alpine3.9,1.4-alpine-latest
1.5.0,openjdk:8u232-jre-stretch
1.5.0-alpine,openjdk:8u212-jre-alpine3.9
1.5.1,openjdk:8u232-jre-stretch
1.5.1-alpine,openjdk:8u212-jre-alpine3.9
1.5.2,openjdk:8u232-jre-stretch
1.5.2-alpine,openjdk:8u212-jre-alpine3.9
1.5.3,openjdk:8u232-jre-stretch
1.5.3-alpine,openjdk:8u212-jre-alpine3.9
1.5.4,openjdk:8u232-jre-stretch
1.5.4-alpine,openjdk:8u212-jre-alpine3.9
1.5.5,openjdk:8u232-jre-stretch
1.5.5-alpine,openjdk:8u212-jre-alpine3.9
1.5.6,openjdk:8u232-jre-stretch,1.5-latest 1-latest
1.5.6-alpine,openjdk:8u212-jre-alpine3.9,1.5-alpine-latest 1-alpine-latest
2.0.0,openjdk:8u232-jre-stretch,2.0-latest
2.0.0-alpine,openjdk:8u212-jre-alpine3.9,2.0-alpine-latest
2.1.0,openjdk:8u232-jre-stretch,2.1-latest
2.1.0-alpine,openjdk:8u212-jre-alpine3.9,2.1-alpine-latest
2.2.0,openjdk:8u232-jre-stretch,2.2-latest
2.2.0-alpine,openjdk:8u212-jre-alpine3.9,2.2-alpine-latest
2.3.0,openjdk:8u232-jre-stretch,2.3-latest
2.3.0-alpine,openjdk:8u212-jre-alpine3.9,2.3-alpine-latest
2.4.0,openjdk:8u232-jre-stretch,2.4-latest
2.4.0-alpine,openjdk:8u212-jre-alpine3.9,2.4-alpine-latest
2.5.0,openjdk:8u232-jre-stretch,2.5-latest
2.5.0-alpine,openjdk:8u212-jre-alpine3.9,2.5-alpine-latest
2.6.0,openjdk:8u232-jre-stretch
2.6.0-alpine,openjdk:8u212-jre-alpine3.9
2.6.1,openjdk:8u232-jre-stretch
2.6.1-alpine,openjdk:8u212-jre-alpine3.9
2.6.2,openjdk:8u232-jre-stretch
2.6.2-alpine,openjdk:8u212-jre-alpine3.9
2.6.3,openjdk:8u232-jre-stretch
2.6.3-alpine,openjdk:8u212-jre-alpine3.9
2.6.4,openjdk:8u232-jre-stretch,2.6-latest
2.6.4-alpine,openjdk:8u212-jre-alpine3.9,2.6-alpine-latest
2.7.0,openjdk:8u232-jre-stretch,2.7-latest
2.7.0-alpine,openjdk:8u212-jre-alpine3.9,2.7-alpine-latest
2.8.0,openjdk:8u232-jre-stretch,2.8-latest
2.8.0-alpine,openjdk:8u212-jre-alpine3.9,2.8-alpine-latest
2.9.0,openjdk:8u232-jre-stretch,2.9-latest
2.9.0-alpine,openjdk:8u212-jre-alpine3.9,2.9-alpine-latest
2.10.0,openjdk:8u232-jre-stretch
2.10.0-alpine,openjdk:8u212-jre-alpine3.9
2.10.1,openjdk:8u232-jre-stretch,2.10-latest 2-latest
2.10.1-alpine,openjdk:8u212-jre-alpine3.9,2.10-alpine-latest 2-alpine-latest
